chr,start,end
chr12,22852376,22852612
chr16,31981245,31981416
chr9,106674129,106674331
chr18,75759468,75759844
chr4,123322508,123322903
chr6,114566805,114566872
chr13,12365172,12365602
chr7,30549885,30550072
chr11,121804223,121804769
chr7,30841507,30841758
chr13,65391212,65391378
chr14,41765278,41765448
chr17,48001411,48001721
chr2,94430497,94430905
chr2,94431000,94431392
chr2,180198838,180199078
chr7,30919214,30919477
chr9,26009428,26009585
chrX,56746707,56746958
chr7,88020630,88021262
chr12,19816112,19816238
chr3,19834884,19834995
chr12,21678048,21678408
chr17,17224995,17225626
chr7,50075348,50075716
chr17,30670146,30670532
chr1,37476393,37476549
chr17,28078967,28079179
chr12,18878325,18878488
chr4,147128896,147129662
chr5,105011351,105012210
chr17,17342548,17342979
chr12,18158750,18158900
chr12,19742865,19742942
chr12,109208049,109208533
chr15,34222795,34223050
chr17,81497917,81498037
chr2,35535683,35535848
chr7,125724269,125724555
chr8,11772303,11772432
chr9,122434693,122434962
chr4,145886531,145888586
chr11,22513654,22514053
chr17,30367299,30367575
chr4,137280673,137281013
chr7,13382121,13382296
chr8,86897394,86897606
chr13,65749543,65749759
chr19,9682830,9682922
chr6,116576421,116576763
chr5,100372846,100373468
chr12,55265778,55266010
chr12,23130948,23131586
chr13,45441141,45441496
chr9,20242156,20242470
chr15,98372658,98372988
chr3,96260973,96261134
chr10,20720862,20721294
chr12,23011327,23011430
chr12,23132415,23132618
chr4,118248928,118249025
chr4,125214877,125215038
chr5,144006280,144006620
chr9,61278665,61279007
chr10,76609501,76609626
chr11,76279384,76279575
chr12,55421907,55422222
chr16,13545531,13546263
chr2,127394440,127394921
chr8,109772903,109773147
chr4,146633008,146633316
chr5,67547169,67547380
chr2,181682138,181682197
chr12,21936696,21937748
chr12,20776535,20776742
chr12,20641922,20642089
chr12,19871634,19872782
chr12,24466066,24467122
chr13,44964950,44965039
chr9,20205882,20206077
chr12,18540661,18540857
chr12,20091811,20092087
chr12,20327513,20327627
chr12,24465492,24465990
chr12,24613136,24613786
chr4,45206391,45206587
chr11,98803117,98803314
chr12,21021884,21022598
chr6,140181402,140181568
chr12,18032846,18033432
chr12,20249314,20250957
chr9,88464115,88464543
chr10,98923457,98923674
chr12,19743725,19743794
chr12,23010178,23010316
chr12,23274435,23275093
chr12,23756323,23756470
chr12,25022727,25022788
chr15,85018855,85018995
chr19,7054058,7054360
chr7,6268382,6268661
chr8,23702824,23702996
chr8,123020951,123021301
chr9,22004738,22005242
chr17,29604401,29604661
chr7,6257297,6257694
chr2,27464457,27464709
chr9,72464653,72464756
chr7,38554638,38554936
chr12,20328135,20328557
chr13,62274131,62274476
chr2,144360544,144360793
chr17,17176838,17177316
chr7,151882826,151883065
chr2,165177891,165178439
chr12,18033514,18034165
chr17,17282284,17282919
chr3,151978757,151978886
chr17,36172406,36172559
chr3,34686304,34686675
chr4,145539884,145540134
chr4,145039511,145040093
chr12,22853543,22853864
chr18,84179624,84179970
chr17,11583598,11583774
chr13,62618922,62619234
chr2,22857522,22857982
chr1,162170374,162170693
chr10,81476360,81476601
chr12,22597972,22598126
chr13,21611912,21611992
chr16,36068568,36069006
chr19,7142647,7142849
chr4,125998920,125999110
chr4,135846412,135846826
chr4,147662135,147662420
chr5,99681481,99681973
chr7,59993667,59993858
chr8,18497332,18497462
chr8,41959759,41959919
chr8,98074544,98074836
chr9,71075124,71075293
chr4,145291326,145291734
chr10,81614079,81614347
chr7,46790959,46791086
chr11,58673092,58673402
chr4,145212571,145214266
chr2,18137152,18137239
chr7,50444885,50445239
chr12,24614590,24614678
chr13,62150927,62151646
chr12,24300841,24301091
chr12,18744447,18744532
chr4,146431894,146433880
chr5,105315079,105315337
chr12,18743464,18744172
chr12,23011054,23011228
chr12,23911323,23911733
chr12,88136378,88136826
chr17,17402439,17402590
chr17,22205206,22205261
chr17,66749229,66749413
chr3,51497197,51497402
chr4,151375246,151375312
chr12,24300434,24300515
chr4,146957826,146958133
chr11,103702385,103702542
chr9,46713340,46713565
chr6,122649078,122649332
chr14,46125464,46125800
chr2,165445663,165445940
chr7,48801638,48801949
chr15,77189679,77189904
chr13,62151737,62152197
chr9,58152370,58152596
chr13,66894251,66894388
chr17,17402646,17402883
chr2,150064239,150064773
chr12,21021377,21021687
chr6,7794393,7794620
chr6,37277819,37277898
chr15,25699801,25700043
chr12,23131635,23132094
chr12,25022432,25022550
chr17,22914667,22914726
chr12,23552469,23552870
chr13,21479905,21480240
chr6,134225598,134225711
chr4,146888236,146888309
chr1,133676267,133676334
chr10,48456161,48456263
chr11,51234873,51235015
chr11,59804620,59804903
chr11,64490193,64490410
chr11,77845623,77845695
chr11,102964033,102964304
chr12,19639709,19639829
chr12,22183623,22183813
chr12,22184375,22184522
chr12,22292650,22292716
chr12,22293379,22293502
chr12,23275405,23275564
chr12,23415074,23415335
chr12,23755627,23755802
chr13,61846548,61846840
chr17,66713787,66713892
chr19,44277650,44277903
chr2,118500067,118500149
chr2,168032555,168032837
chr4,120603522,120603814
chr4,133466911,133467202
chr6,90687579,90687666
chr6,136788900,136789169
chr7,28222674,28223103
chr9,66021515,66021692
chr12,20327683,20327751
chr4,145127095,145128054
chr17,65086440,65086579
chr11,113513132,113513400
chr12,18878958,18879074
chr12,23960470,23960848
chr13,67021060,67021346
chr2,126834267,126834402
chr6,72755159,72755366
chr2,33055766,33056086
chr5,120552910,120553088
chr16,33853045,33853224
chr9,72378058,72378240
chr3,27306710,27306871
chr13,67418362,67418446
chr17,17177365,17177766
chr7,118399831,118400209
chr17,21956652,21956712
chr16,3749532,3749840
chr16,98232620,98232683
chr12,23552970,23553040
chr17,30765757,30765833
chr7,28773939,28774047
chr12,19308909,19309696
chr16,55866478,55866719
chr4,149191857,149191922
chr7,49917890,49918043
chr5,120064380,120064455
chr7,50408762,50409229
chr12,87865834,87865905
chr4,123328600,123328790
chr2,172403052,172403189
chr7,49868447,49868586
chr1,138847613,138847690
chr10,42995716,42995826
chr12,107096340,107096681
chr15,36466699,36466861
chr16,98231841,98232095
chr16,98286222,98286619
chr17,86407801,86408024
chr2,36404784,36404867
chr2,172403423,172403478
chr5,110105385,110105468
chr6,118378971,118379060
chr7,49835176,49835783
chr8,9756521,9756734
chr8,24348216,24348443
chr17,6480189,6480525
chr12,20641578,20641819
chr10,110379125,110379231
chr11,50686617,50686953
chr11,96678403,96678664
chr11,121685396,121685636
chr12,18157920,18158037
chr12,20685382,20685542
chr12,23275633,23275809
chr13,21612061,21612136
chr13,22066949,22067029
chr13,61845788,61845902
chr16,11423941,11423997
chr18,37691174,37691509
chr2,172322126,172322224
chr4,20561888,20562036
chr5,66717727,66717866
chr5,109907399,109907465
chr5,150738811,150739024
chr6,52527478,52527632
chr7,107621625,107621695
chr7,147221896,147222057
chr8,11281847,11281937
chr12,20441742,20441950
chr13,22051518,22051606
chr9,8976570,8976933
chr13,65351174,65351230
chr12,23960964,23961123
chr4,57219683,57219819
chr19,9681904,9682068
chr8,96702744,96702906
chr12,23553140,23553205
chr1,25299676,25299874
chr16,98286917,98287262
chr10,52248317,52248385
chr13,62470570,62470809
chr12,22853377,22853441
chr13,62273344,62273872
chr13,62619447,62619522
chr13,67926262,67926509
chr15,39547992,39548045
chr17,44487665,44487989
chr17,66690794,66690902
chr9,30257737,30257868
chr7,30841821,30842059
chr17,22017069,22017130
chr12,24614742,24614914
chr17,30790062,30790159
chr17,17282043,17282166
chr3,96257263,96257534
chr16,48611151,48611279
chr8,19862413,19862625
chr12,19081826,19082037
chr11,58704031,58704110
chr16,84735661,84735798
chr1,169270424,169270505
chr1,78518550,78518660
chr1,88075543,88075673
chr10,81342868,81343108
chr10,121489013,121489158
chr11,7654478,7654701
chr11,114469576,114469706
chr12,22292513,22292570
chr12,22293186,22293247
chr12,22481954,22482128
chr12,22597275,22597333
chr12,22597565,22597620
chr12,24081196,24081347
chr12,25023066,25023191
chr12,73222396,73222452
chr12,106331001,106331226
chr13,61962324,61962457
chr14,12796157,12796257
chr15,79284716,79284861
chr15,88990007,88990084
chr17,27169208,27169542
chr18,61172793,61172952
chr4,148161877,148161967
chr6,145268906,145268988
chr7,6346926,6346994
chr7,134754720,134754967
chr7,150105265,150105404
chr8,88119421,88119678
chr9,21045919,21046028
chr9,61598470,61598568
chr9,106385930,106386171
chr7,148629903,148630131
chr8,23303190,23303304
chr8,87678270,87678455
chr12,19981976,19982197
chrX,51098021,51098074
chr11,116287645,116287854
chr15,100487265,100487344
chr3,151917544,151917729
chr8,57995167,57995246
chr11,50628434,50628653
chr13,31767321,31767515
chr8,72290160,72290326
chr17,79285207,79285393
chr7,3301144,3301278
chr5,110507343,110507405
chr15,76721523,76721612
chr9,106114380,106114504
chr3,87806428,87806537
chr2,150168159,150168248
chr5,110556768,110556897
chr7,50445290,50446185
chr17,29603078,29603152
chr13,51201678,51201829
chr9,77960925,77961091
chr8,113486046,113486241
chr1,8644824,8644962
chr10,39283302,39283486
chr11,113449248,113449639
chr12,18060398,18060468
chr12,19413487,19413778
chr15,51633177,51633317
chr17,22424116,22424181
chr18,90760996,90761277
chr2,26758282,26758450
chr4,27450111,27450236
chr5,110165364,110165429
chr5,115356762,115356945
chr6,57091428,57091514
chr7,71082696,71082921
chr7,80624562,80624636
chr7,138282206,138282316
chr4,145040297,145040734
chr12,23553468,23553578
chr12,20327946,20328074
chr10,83902686,83902830
chr14,12738706,12738827
chr12,18879504,18879656
chr11,50628720,50628804
chr16,57391497,57391775
chr19,46570098,46570306
chr7,30700384,30700806
chr7,49917070,49917139
chr14,76234425,76234531
chr12,19298392,19298480
chr12,20906582,20906640
chr15,102501541,102501672
chr19,42210335,42210440
chr12,22713893,22713969
chr4,146764831,146765374
chr12,24756669,24756978
chr4,135725707,135725883
chr4,146888665,146888727
chr7,68121048,68121122
chr1,181643647,181643700
chr10,41986509,41986626
chr10,98434499,98434601
chr11,5015150,5015208
chr11,118947459,118947736
chr11,121719804,121719928
chr12,19429464,19429518
chr12,19498467,19498544
chr12,19983016,19983212
chr12,20090320,20090449
chr12,20091668,20091753
chr12,23010589,23010805
chr12,23010934,23010987
chr12,117298605,117298735
chr13,61845441,61845583
chr13,61845955,61846167
chr13,67926698,67926763
chr13,112597646,112597764
chr14,46647822,46647882
chr15,13073304,13073394
chr15,79210957,79211131
chr16,19539545,19539807
chr17,13897329,13897411
chr17,28828181,28828234
chr17,33155612,33156060
chr17,33442131,33442411
chr17,35772643,35772726
chr17,48576072,48576181
chr18,3731026,3731217
chr18,36688090,36688226
chr18,37998302,37998356
chr19,10315201,10315341
chr19,59314063,59314134
chr2,68943042,68943110
chr2,116363385,116363572
chr3,15515422,15515482
chr4,128303618,128303683
chr5,8832386,8832452
chr5,106773410,106773581
chr6,70053311,70053431
chr6,134125192,134125419
chr7,48736319,48736420
chr8,28231475,28231589
chr8,35436411,35436503
chr8,85919699,85919825
chr9,90089493,90089666
chrX,120361697,120361750
chr7,109414452,109414506
chr8,71752429,71752840
chr10,81614999,81615114
chr12,19982326,19982466
chr13,67926147,67926200
chrX,120295139,120295192
chr13,48585515,48585576
chrX,120654779,120654832
chr8,8711719,8711834
chr17,6265975,6266165
chr1,12634862,12634915
chr1,134085150,134085488
chr13,62150707,62150808
chr16,11034684,11034801
chr17,21163816,21163967
chr4,61853032,61853147
chr6,118379114,118379392
chr8,120861786,120861960
chr8,124275519,124275582
chr9,22004020,22004244
chr5,6591039,6591098
chr15,75509799,75509903
chr7,87365834,87365902
chr4,146987221,146987275
chr17,56692577,56692630
chr18,37982615,37982726
chr2,50826981,50827058
chr5,105312208,105312525
chr2,150064843,150065207
chr19,27978835,27978906
chr11,69392795,69392991
chr17,10099061,10099191
chr8,71896407,71896471
chr12,20441040,20441184
chr5,130230761,130230923
chr12,20641199,20641284
chr6,114547171,114547351
chr12,21021078,21021279
chr12,18879296,18879402
chr17,22423866,22423957
chr5,136386875,136387093
chr10,86326321,86326419
chr10,80641842,80641895
chr12,19982550,19982943
chr12,22853116,22853297
chr9,22004347,22004643
chr5,111128701,111128802
chr4,58998350,58998585
chr11,45867942,45868118
chr7,91818174,91818249
chr12,19204931,19205049
chr12,20432532,20432586
chr12,24756346,24756547
chr4,144928013,144928117
chr14,76234291,76234350
chr13,22051724,22051781
chr12,86850861,86850925
chr9,113813596,113813718
chrX,120309559,120309617
chr15,59142978,59143171
chr8,57984055,57984140
chr1,8645056,8645138
chr9,123371097,123371299
chr12,17909603,17909677
chr1,33526333,33526566
chr1,121888427,121888480
chr1,168030856,168030950
chr10,41986379,41986432
chr10,81183879,81183932
chr10,81475882,81476002
chr10,81688314,81688492
chr10,121783190,121783272
chr11,7672073,7672214
chr11,88342428,88342486
chr11,104710853,104710906
chr12,19632060,19632199
chr12,20159966,20160025
chr12,20526527,20526600
chr12,24080328,24080381
chr12,85930780,85930947
chr12,104838949,104839019
chr12,112627504,112627557
chr13,38008936,38009101
chr13,57065827,57065929
chr13,62705688,62705741
chr13,74573049,74573165
chr14,35766868,35766936
chr14,62096037,62096090
chr15,34222688,34222746
chr15,37161906,37162013
chr16,11670601,11670655
chr17,5404382,5404437
chr17,22338118,22338174
chr17,26351809,26351869
chr18,14168144,14168234
chr18,73975416,73975533
chr19,3593450,3593636
chr19,4942758,4942811
chr2,5660095,5660155
chr2,18137294,18137381
chr2,35535543,35535599
chr2,101801741,101801858
chr2,146166871,146166926
chr2,179336100,179336154
chr2,180085801,180085860
chr3,89764663,89764737
chr4,6894752,6894805
chr4,6895984,6896091
chr4,131250296,131250382
chr4,148304039,148304139
chr5,104083465,104083518
chr5,121753496,121753563
chr5,130091299,130091373
chr5,136254459,136254550
chr5,138586025,138586290
chr5,139241101,139241167
chr6,34872156,34872290
chr7,48736150,48736216
chr7,77070990,77071130
chr7,127041973,127042034
chr7,145346362,145346426
chr7,147721770,147721823
chr8,97605722,97605812
chr8,107898551,107898797
chr8,112613385,112613543
chr9,20298076,20298255
chr9,20303753,20304074
chr9,34843564,34843791
chr9,106385799,106385864
chrX,120587893,120587950
chr1,121809573,121809829
chr1,162596371,162596442
chr12,24299200,24299611
chr12,24757434,24757546
chr16,13312692,13312759
chr16,30290536,30290593
chr17,36251310,36251683
chr17,95217397,95217450
chr2,150634211,150634405
chr4,117039435,117039543
chr5,110311720,110311776
chr5,118690238,118690382
chr6,114485531,114485634
chr7,25258156,25258228
chr7,30561731,30561992
chr7,30862791,30863125
chr7,150436522,150436793
chr6,114529963,114530100
chr11,77557562,77557827
chr13,66770675,66770730
chr1,176224568,176224633
chr10,81475698,81475770
chr15,37950410,37950463
chr5,113556868,113556926
chr8,61536798,61536913
chr11,60660082,60660188
chr14,56330901,56330975
chr12,24614211,24614528
chr7,13408883,13409069
chr6,50560187,50560294
chr14,73909656,73909785
chr10,5088690,5088784
chr6,7794070,7794333
chr8,57994174,57994227
chr3,41546726,41546797
chr11,6066681,6066769
chr15,89363650,89363707
chr12,18681988,18682052
chr3,8985486,8985580
chr17,36323069,36323132
chr10,67475911,67476116
chr17,22337017,22337165
chr5,64318722,64319096
chr7,50409414,50409822
chr7,67047353,67047413
chrX,120657933,120658027
chr6,114495849,114495959
chr12,80088934,80088987
chr8,112533079,112533148
chr4,108469338,108469395
chr1,13653304,13653370
chr17,17225965,17226095
chr3,8985348,8985412
chr12,23553886,23553944
chr12,88188012,88188227
chr17,4683689,4683752
chr2,146459721,146459787
chr3,8984984,8985279
chr7,25088292,25088494
chr3,9210991,9211078
chr16,9138632,9138770
chr6,114492381,114492450
chr17,66219858,66220009
chr2,171667689,171667820
chr19,46654537,46654682
chr5,115895455,115895511
chr13,67141472,67141604
chr11,97165872,97166070
chr12,24757640,24757724
chr4,145928897,145928950
chr18,34936575,34936628
chr5,110438299,110438353
chrX,122670871,122670926
chr9,57402806,57402859
chr10,75438156,75438219
chr11,108872981,108873336
chr13,65791164,65791218
chr2,127403331,127403396
chr4,151707225,151707331
chr9,69301858,69301911
chr1,182507049,182507120
chr10,3815449,3815502
chr10,94427739,94427964
chr11,45960840,45961124
chr12,22183940,22184008
chr12,22184220,22184279
chr12,24080477,24080532
chr12,64220721,64220779
chr13,30053792,30053944
chr13,62376329,62376546
chr16,98233074,98233151
chr17,7146353,7146406
chr17,17283090,17283265
chr19,5015241,5015358
chr2,98169998,98170083
chr3,9580670,9580775
chr6,114447128,114447225
chr6,114483102,114483155
chr6,114836240,114836315
chr8,91553875,91554039
chrX,121954715,121954768
chrX,154922207,154922265
chr12,22854124,22854218
chr10,43948414,43948478
chr11,101789566,101789751
chr12,19872836,19873059
chr13,65499091,65499161
chr16,95011750,95011912
chr5,110507028,110507243
chr7,13453805,13454052
chr8,57997331,57997596
chrX,120975860,120975913
chr5,110467701,110467906
chr8,56202111,56202276
chr8,57990811,57990935
chr8,74089479,74089541
chr19,28284474,28284551
chr7,29972952,29973032
chr13,62336754,62336921
chr7,13452978,13453114
chr1,59580271,59580347
chr1,94269896,94269955
chr1,154358552,154358607
chr1,182198368,182198460
chr10,29273962,29274015
chr10,39171139,39171274
chr10,39283596,39283654
chr10,76593485,76593589
chr10,78529255,78529308
chr11,50714527,50714629
chr11,63754908,63755005
chr12,4075453,4075506
chr12,20092153,20092273
chr12,22482282,22482344
chr12,25023317,25023424
chr12,49056645,49056702
chr12,107396885,107396973
chr12,110275980,110276066
chr13,10220775,10220828
chr13,22069816,22069884
chr13,50527521,50527586
chr13,58643256,58643317
chr13,61962688,61962746
chr13,93540063,93540151
chr14,10732812,10732865
chr14,22668179,22668409
chr14,46125888,46125955
chr14,65376370,65376426
chr15,5019626,5019779
chr15,28787738,28787912
chr15,79336128,79336236
chr15,82089991,82090123
chr16,10999974,11000028
chr16,88794004,88794057
chr17,28691249,28691364
chr17,29665619,29665739
chr17,36090423,36090476
chr17,42930827,42930917
chr17,81716751,81716839
chr18,37063263,37063333
chr18,78972697,78972768
chr19,57076339,57076392
chr2,26502436,26502517
chr2,60271578,60271644
chr2,68670468,68670623
chr2,172322287,172322532
chr2,179335934,179335992
chr2,180198734,180198787
chr3,144383388,144383555
chr3,152632054,152632146
chr4,38318073,38318135
chr4,46106873,46106945
chr4,74714160,74714261
chr4,79062809,79062862
chr4,88409593,88409646
chr4,128790364,128790538
chr4,135846933,135847029
chr4,137875591,137875649
chr4,151686485,151686661
chr5,34000704,34000881
chr5,52718625,52718683
chr5,71896228,71896321
chr6,80736335,80736520
chr6,100154130,100154221
chr7,24983469,24983607
chr7,30578404,30578609
chr7,31881449,31881529
chr7,46791187,46791240
chr7,74774719,74774866
chr7,108561454,108561551
chr7,146353368,146353471
chr8,39171724,39171813
chr8,71826239,71826318
chr8,74413516,74413605
chr9,61598668,61598735
chr9,104501057,104501111
chr9,108419308,108419408
chr9,122804981,122805036
chrX,20659340,20659410
chrX,103382213,103382357
chrX,137429058,137429153
chr13,17550117,17550243
chr6,82797947,82798010
chr4,134034114,134034170
chr8,77501678,77501731
chr1,55252490,55252616
chr2,150234339,150234446
chr8,122041329,122041382
chr8,72289643,72289696
chr13,56054340,56054512
chr9,20487372,20487450
chr12,93185295,93185387
chr3,89989747,89989875
chr5,93472827,93472918
chr10,127642234,127642460
chr17,6298874,6298972
chr12,23960063,23960165
chrX,121033933,121034011
chr19,29082513,29082592
chr7,104225835,104225919
chr8,93655395,93655551
chr2,173968089,173968169
chr14,102656977,102657049
chr6,125309274,125309384
chr6,67188256,67188312
chr13,62152259,62152342
chr13,74716641,74716694
chr5,114216669,114216820
chr6,140181644,140181697
chr17,48440138,48440236
chr8,57998554,57998607
chr4,24478787,24478894
chr8,46880616,46880669
chr8,114194180,114194309
chr6,114487951,114488004
chr12,18879830,18879892
chr10,93437196,93437331
chr6,10349785,10349838
chr6,97539539,97539593
chr16,17222451,17222522
chr7,6180375,6180428
chr18,34979104,34979165
chr3,87778402,87778549
chr7,30550793,30550915
chr2,93673286,93673342
chr16,3343579,3343707
chr9,49760399,49760554
chr7,19862996,19863049
chr17,17177837,17177970
chrX,121634950,121635012
chr12,20441552,20441691
chr11,70371002,70371088
chr19,46654744,46654846
chr4,126197152,126197344
chr6,47636202,47636281
chr12,23959599,23959870
chr14,88744894,88744948
chr16,90428333,90428594
chr2,29475083,29475348
chr2,119372830,119372974
chr3,88006163,88006300
chr13,44829232,44829323
chr12,24300312,24300382
chr11,70371186,70371239
chr2,150167936,150168009
chr12,19107877,19107932
chr12,22852692,22853038
chr13,114621199,114621302
chr6,97911803,97912143
chr9,97014684,97014852
chrX,121016341,121016394
chr7,30562441,30562547
chr12,19204694,19204810
chr13,22050770,22050845
chr3,159503521,159503675
chr8,22150098,22150151
chr1,192806904,192807004
chr12,19505221,19505378
chr12,22482720,22482851
chr12,113309288,113309411
chr13,61846312,61846442
chr13,66223969,66224022
chr13,67553915,67554143
chr13,95040850,95040980
chr14,55426115,55426198
chr14,77060029,77060245
chr2,28978275,28978387
chr2,155388727,155388811
chr3,87778612,87778811
chr3,89761282,89761382
chr5,23817197,23817385
chr5,136282654,136282710
chr6,114476631,114476689
chr6,114561447,114561527
chr6,114458690,114458743
chr6,114490410,114490465
chr2,18137027,18137080
chr3,107146519,107146572
chr6,50577974,50578072
chr9,20389245,20389345
chr3,156984890,156985014
chr16,95995062,95995115
chr2,122005899,122005957
chr5,105314792,105314845
chr14,68372227,68372280
chr2,75480587,75480640
chr16,57391274,57391342
chrX,120425330,120425458
chr11,58703434,58703494
chr8,122133072,122133191
chr1,173494491,173494659
chr19,11926706,11926759
chr9,107791012,107791130
chr10,66792699,66792752
chr15,85310697,85310766
chr15,63855601,63855788
chr2,34726441,34726494
chr2,59271489,59271578
chr6,47722864,47723004
chr5,67547618,67547672
chr4,145284114,145284186
chr5,110263116,110263286
chr17,30766043,30766118
chr13,30790917,30790986
chr13,38877410,38877481
chrX,122515139,122515195
chr1,24215340,24215442
chr1,46910768,46910834
chr1,91410494,91410628
chr1,172056069,172056141
chr1,181643364,181643578
chr10,11237571,11237636
chr10,41200447,41200500
chr10,80782974,80783068
chr10,81319344,81319406
chr10,81476876,81476929
chr10,82339074,82339198
chr11,55271300,55271358
chr11,81799509,81799587
chr11,98443165,98443218
chr11,121685693,121685775
chr11,121720844,121721029
chr12,8300748,8300816
chr12,30410693,30410795
chr12,112651599,112651679
chr12,112651736,112651789
chr12,113785671,113785724
chr13,12433176,12433251
chr13,21612203,21612305
chr13,52685230,52685389
chr13,53439863,53439916
chr13,65391090,65391150
chr14,4234623,4234721
chr14,29972118,29972187
chr14,29972260,29972360
chr14,42149841,42149932
chr14,42665381,42665458
chr14,103450804,103450910
chr15,22010033,22010091
chr15,27134820,27134873
chr15,73546929,73546982
chr15,99483767,99483840
chr16,11424060,11424136
chr16,38447993,38448111
chr17,3451298,3451351
chr17,22065159,22065215
chr17,30367143,30367244
chr17,33156180,33156300
chr17,43154217,43154304
chr17,46794898,46794990
chr17,88128177,88128234
chr17,90037114,90037167
chr18,37063056,37063145
chr18,86067486,86067539
chr19,45155889,45155969
chr2,11059238,11059291
chr2,24539831,24539937
chr2,26758132,26758220
chr2,63563144,63563197
chr2,128238181,128238252
chr2,150234058,150234215
chr2,158541000,158541135
chr3,88894061,88894114
chr4,40761203,40761295
chr4,53849956,53850025
chr4,150198135,150198188
chr4,151133635,151133735
chr5,66717941,66718001
chr5,113212463,113212516
chr5,143423252,143423329
chr6,87725492,87725630
chr7,6268258,6268323
chr7,16040631,16040684
chr7,56579946,56580122
chr7,71861270,71861323
chr7,121679734,121679803
chr7,144670158,144670211
chr8,14289481,14289534
chr8,73293387,73293470
chr8,120898002,120898055
chr8,122843464,122843572
chr9,45220323,45220376
chr9,58065649,58065736
chr9,108881444,108881497
chr4,149640314,149640599
chr7,148211472,148211535
chr13,66009117,66009171
chr4,96958773,96958839
chr10,81614873,81614926
chr2,176889302,176889410
chr8,129414727,129414785
chr14,6530257,6530314
chr14,5146098,5146151
chr12,19981539,19981620
chr8,58019149,58019333
chr1,169238540,169238615
chr9,107489918,107490057
chr9,98984208,98984261
chr17,6824272,6824404
chr12,19308716,19308824
chr4,147129720,147129786
chr12,19081229,19081518
chr12,24300652,24300718
